index_date,exports_(US$ millions)
2018-04-01,-515.8628200000021
2018-05-01,-387.73669999999765
2018-06-01,788.9907999999996
2018-07-01,2410.4797
2018-08-01,-971.841510000002
2018-09-01,-2365.48876
2018-10-01,2710.340930000002
2018-11-01,-958.4689500000022
2018-12-01,-1594.0565599999973
2019-01-01,-1343.1123600000028
2019-02-01,-2264.5320199999987
2019-03-01,1691.323479999999
2019-04-01,1853.035960000001
2019-05-01,1310.6747499999983
2019-06-01,-2186.398659999999
2019-07-01,1744.8726400000014
2019-08-01,-481.3579200000022
2019-09-01,628.8825300000026
2019-10-01,-721.56855
2019-11-01,-1840.1240300000027
2019-12-01,766.2619900000027
2020-01-01,-4073.261920000001
2020-02-01,926.7342499999995
2020-03-01,2955.9008300000005
2020-04-01,-718.5517
2020-05-01,-73.95755999999892
2020-06-01,-40.86975000000166
2020-07-01,1937.0358400000005
2020-08-01,-2012.2316900000005
2020-09-01,819.6122199999991
2020-10-01,-574.0521100000005
2020-11-01,-304.4350599999998
2020-12-01,1106.808390000002
2021-01-01,-3504.184070000001
2021-02-01,1425.5637900000002
2021-03-01,7952.231170000001
2021-04-01,1684.1518599999981
2021-05-01,173.5281900000009
2021-06-01,1952.0125799999987
2021-07-01,-2608.1004399999983
2021-08-01,1747.9976099999985
2021-09-01,-2878.6914099999995
2021-10-01,-1830.4850699999988
